gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.7000000000000002,0.4,[1.279 1.292 1.358 1.299 1.317 1.369 1.277 1.264 1.448 1.39 ],[2.78  2.62  2.74  2.47  2.765 2.875 2.69  2.635 2.825 2.9  ],[1.5 1.  1.5 1.  1.  2.  1.  1.  2.  2. ],"[1.80171775 1.72250254 1.82301126 1.63220957 1.82972347 1.94574584
 1.73672955 1.72579304 1.8891714  1.92304504]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.4984185  0.44259623 0.47782205 0.39222147 0.5153442  0.52759826
 0.4806419  0.45243244 0.50508876 0.52346985]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39876616 0.40121213 0.40328358 0.40070256 0.39983676 0.40186179
 0.40022413 0.40379968 0.39959449 0.39688952]"
1.7000000000000002,0.45,[1.342 1.431 1.415 1.202 1.249 1.251 1.349 1.357 1.162 1.269],[2.74  2.67  2.895 2.415 2.545 2.575 2.78  2.66  2.355 2.615],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.78534223 1.80671539 1.93155161 1.57411867 1.70541642 1.70295288
 1.85706087 1.76471654 1.49172149 1.70833905]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.47481642 0.44769561 0.54295694 0.37502382 0.41151139 0.43663575
 0.4887726  0.43882481 0.37105224 0.46139783]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44808416 0.44811307 0.45123974 0.44905676 0.45440981 0.44949743
 0.4522914  0.44978609 0.44862686 0.44958601]"
1.8000000000000003,0.05,[0.218 0.242 0.214 0.231 0.241 0.223 0.239 0.25  0.217 0.28 ],[2.37  2.305 2.35  2.33  2.395 2.495 2.45  2.435 2.28  2.685],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.61860213 0.64369137 0.60170155 0.57554851 0.62297902 0.65121619
 0.6386636  0.76233388 0.55507171 0.80880271]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39645522 0.40477169 0.37661854 0.34738811 0.40358327 0.443274
 0.41114224 0.49960561 0.34092132 0.54834434]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05011609 0.04966461 0.05080105 0.04902967 0.05046895 0.04985416
 0.04950934 0.04803014 0.05062867 0.04935832]"
1.8000000000000003,0.1,[0.406 0.511 0.424 0.399 0.5   0.558 0.407 0.335 0.398 0.406],[2.4   2.975 2.175 2.4   2.56  2.775 2.245 2.185 2.29  2.425],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.87399917 1.26828701 0.74699627 0.82042932 1.02747982 1.17372943
 0.76706195 0.68399248 0.8323792  0.82705738]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.44035538 0.75266201 0.34211956 0.41038232 0.52548214 0.64753985
 0.35918597 0.31591142 0.41194647 0.44291797]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09708029 0.09975389 0.09974931 0.10035869 0.09824276 0.09921555
 0.09879762 0.09863441 0.10013385 0.10150853]"
1.8000000000000003,0.15000000000000002,[0.54  0.569 0.58  0.707 0.702 0.635 0.695 0.632 0.526 0.563],[2.29  2.1   2.14  2.66  2.735 2.465 2.68  2.62  2.245 2.305],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.0111285  0.89406304 0.92849292 1.31231626 1.31511968 1.11816429
 1.2761922  1.26051494 0.94810352 0.9914945 ]",[0.  0.  0.  0.5 1.  0.  0.  0.  0.  0. ],"[0.42353939 0.33214653 0.36992115 0.60515927 0.60338933 0.50023827
 0.61474994 0.59985363 0.40144702 0.43005285]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.14716185 0.14860817 0.1505211  0.14928296 0.14987113 0.15055096
 0.14905045 0.15170049 0.14930701 0.14959243]"
1.8000000000000003,0.2,[0.819 0.755 0.778 0.828 0.578 0.732 0.758 0.828 0.64  0.798],[2.445 2.355 2.37  2.505 2.26  2.24  2.495 2.56  2.015 2.545],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.31443928 1.17290313 1.19098476 1.3495741  1.0147974  1.14938377
 1.32962782 1.39023959 0.96343425 1.33145798]",[1.  1.  1.  1.  0.  1.  0.5 1.  0.  1. ],"[0.48082691 0.41598906 0.4320898  0.52941815 0.38586674 0.40051476
 0.53242933 0.5218555  0.32303386 0.51968369]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.1980853  0.20106098 0.20059015 0.20127368 0.1985138  0.19956073
 0.1978304  0.19854989 0.20035026 0.20134884]"
1.8000000000000003,0.25,[0.921 0.828 0.737 0.977 0.922 0.919 0.928 0.82  0.904 0.898],[2.465 2.115 2.235 2.4   2.555 2.425 2.485 2.285 2.38  2.43 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.3976643  1.14087807 1.15236561 1.40728326 1.47040021 1.4044874
 1.38604443 1.21153521 1.31355651 1.34161239]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.49769695 0.31508706 0.38070851 0.44022423 0.50859479 0.46001078
 0.48054485 0.39741168 0.42904235 0.42466293]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25104659 0.2488344  0.24730917 0.2505025  0.24934352 0.24912061
 0.24862667 0.25064561 0.25079745 0.25133106]"
1.8000000000000003,0.3,[1.08  0.996 0.957 0.903 0.942 1.059 0.904 0.984 1.042 1.184],[2.595 2.41  2.275 2.22  2.3   2.475 2.18  2.425 2.65  2.905],[1. 1. 1. 1. 1. 1. 1. 1. 2. 1.],"[1.57172275 1.4060327  1.3265133  1.23570712 1.3119666  1.51473863
 1.26233292 1.40392613 1.55210953 1.77566762]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.50957584 0.44307127 0.36761438 0.35153598 0.35390874 0.4681569
 0.32487595 0.40293125 0.47466538 0.5935323 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29970828 0.29803452 0.30092344 0.29851065 0.30085331 0.29714984
 0.3005607  0.29691333 0.29833311 0.29804934]"
1.8000000000000003,0.35000000000000003,[1.039 1.208 1.11  1.088 1.013 1.152 0.954 1.156 1.051 0.971],[2.255 2.575 2.465 2.185 2.3   2.375 2.195 2.47  2.26  2.155],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.34061992 1.66879432 1.49360638 1.30865859 1.42183152 1.47285089
 1.32284873 1.53432769 1.32744546 1.30056407]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.3292332  0.488245   0.42716168 0.30152968 0.35943894 0.36625665
 0.31526084 0.41225738 0.34037881 0.30005046]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35102947 0.34936846 0.35272612 0.35750744 0.3511844  0.3523793
 0.34742723 0.35311259 0.34752184 0.34817429]"
1.8000000000000003,0.4,[1.184 1.291 1.044 1.192 1.115 1.259 1.155 0.953 1.2   1.139],[2.57  2.58  2.335 2.445 2.6   2.485 2.38  2.15  2.495 2.455],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.66350946 1.68909053 1.46984497 1.63938426 1.61793015 1.60476326
 1.45541281 1.29976955 1.59415127 1.59594971]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.45184442 0.44943568 0.37008545 0.41094462 0.42789261 0.38677376
 0.34306417 0.29908198 0.39193905 0.4140918 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39961904 0.39909553 0.40119623 0.39645831 0.40168563 0.40013794
 0.40550783 0.40359688 0.40049607 0.40173065]"
